,Job_Title,Key_Skills,Location1,Functional_Area_merged,Job_Experience,Job_Salary
13148," Procurement Executive , Inbound Logistics , Puurchase"," Procurement, Purchase, Inbound Logistics, Import, LCL, Inventory Management, Logistics Operations, Supply Chain, Material Resource Planning, FCL",Chennai,"Production,Merchandising,Business Development,Export , Import , Merchandising,Export, Import",1 - 5,1 - 5
13156, Net Developer," C#, CSS, VB.NET, Technical Skills, Javascript, Bootstrap, .Net, HTML, JQuery, SQL",Mumbai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
13162," Hiring Mechanical Engineer For Pune Location.,"," Hiring, Diploma, Quality Engineering, Mechanical Engineering",Pune,"Other,Production , Manufacturing , Maintenance,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
13186, Business Development Executive," Lead Generation, Sales, Demo, Business Development","Delhi NCR,Mumbai,MumbaiSuburbs","Retail Sales,Sales , Retail , Business Development,Education, Teaching, Training",1 - 5,1 - 5
13187, Opening For the post of Survey Programmer," Beacon, market research",Mumbai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
13194, Great Openings For Marketing And Management Graduates - Apply Now," Sales, Marketing, Branding, Advertising, Promotions, Events, Corporate Sales, Team Handling, Entrepreneurship, management, creative, fresher, trainee, Communication Skills, Presentation Skills",Delhi NCR,"Other,Marketing , Advertising , MR , PR , Media Planning,Advertising, PR, MR, Event Management",1 - 5,1 - 5
13197, Urgent Hiring: Sales Officer- MSME Loans," mortgages, business loan, bil, new business, loans, secured loan, home loan, housing loan, loan sales, lap",Pune,"Retail Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
13201," Office Assistant Data Entry Operator,"," Accounting, Taxation, Back Office, Billing, ERP, Excel, Word, Data Entry",Pune,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Retail, Wholesale",1 - 5,1 - 5
13210, Urgent Opening For Sales," business generation, new projects, sales management, marketing, customer satisfaction, handling customer queries, business development",Noida,"Channel Sales,Sales , Retail , Business Development,Real Estate, Property",1 - 5,1 - 5
13211, Customer Engagement Manager," engagement management, Home Loans, customer engagement",Mumbai,"Mutual Funds,Fund Management,Asset Management,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",1 - 5,1 - 5
13221," Hiring in E-commerce Back Office,backend,data Entry,computer Operator"," Domestic BPO, Back Office, Data Entry Operation, International BPO, Calling, Chat Process, Part Time, freelancer, Marketing, sales, sales marketing, direct marketing, Front Office, reception, BPO, Call Center, fresher, undergraduate","Mumbai,Kolkata,Lucknow","Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
13225, Email Support Executive, Email Process,"Delhi,Gurgaon,...More","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,IT-Software, Software Services",1 - 5,1 - 5
13233," Opening for Home Visit Trichologist Doctor - BHMS , BAMS"," Bhms, Medicine, Bams, Mbbs, Relationship Management, Service Level, Follow Ups, Consulting, Cosmetology",Mumbai,"Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Medical, Healthcare, Hospitals",1 - 5,1 - 5
13254, Urgently Looking for Web Developer," laravel, javascript, css, php, bootstrap, web development, mysql, git, web technologies, Codeigniter, cakephp, MVC",Pune,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
13260," Need Telecallers For International BPO, Domestic Call Center -freshers"," International BPO, Call Center, Non Voice Process, Customer Care, Calling, Domestic, inbound, voice process, international call center, BPO, KPO, LPO, Domestic BPO, Data Entry, Back Office, computer operator","Delhi NCR,Faridabad,Noida,...More","Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
13261, Immediate Opening For Sales Executive @ Gerugambakkam," computer, sales executive activities, desktop, printer, scanner, Hardware, laptop",Chennai,"Retail Sales,Sales , Retail , Business Development,IT-Hardware & Networking",1 - 5,1 - 5
13271, Database Analyst - Stock Broking - Ahmedabad," Database Maintenance, Stock Broking, insurance, MySQL, PHP, Laravel, financial services, banking",Ahmedabad,"Investment Banking,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",1 - 5,1 - 5
13276, Accounts Executive__nd," General Accounting, Finance, Taxation, Commerce, PF, Pan, Monthly Reports, Night Shift","Noida,Delhi NCR","Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
13277," PHP Software Developer,"," Codeigniter, CSS, PHP, HTML, Javascript, JQuery, MySQL, Web Application Development, Bootstrap, JSON",Noida,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
13284," Need Telecallers For International BPO, Domestic Call Center -freshers"," international bpo, call center, customer support, bpo fresher, international call center, non voice, backend, Fresher, undergraduate, customer care executive","Delhi NCR,Gurgaon,Noida","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
13298," Customer Care Executive, Technical Support(voice), upto 32.5k Salary"," bpo, non voice, domestic, call center, international call center, voice process, technical support, technical support executive, tse, tech support, email, chat, customer service, customer care, international bpo, voice, customer care executive, Back Office, Inbound","Chandigarh,Indore,Jaipur","Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
13307, Looking for Accounts Executive for MNC - Contract," MNC, Accounting",Bengaluru,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,IT-Software, Software Services",1 - 5,1 - 5
13317, HR Generalist (night Shift) (females Only )," Recruitment, Senior HR, HR Generalist Activities, HR Coordination, HR Administration, Human Resource Management, Onboarding, Training, HR Policies, Talent Acquisition, HR",Noida,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,IT-Software, Software Services",1 - 5,1 - 5
13321, Opening For US Accounting - Account Executive," accounts receivable, balance sheet, accounts payable, journal entries, intercompany reconciliation, general accounting, Bank Reconciliation, accounting software, general ledger, intercompany accounts, accounts finalisation, ledger posting, ledger scrutiny",Ahmedabad,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,KPO, Research, Analytics",1 - 5,1 - 5
13325, Urgent Opening for Radiology Coders-andheri(seepz)," radiology, cpc, medical coding, RCM, Medical Coder",Mumbai,"Back Office,Web,Transaction Processing,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
13334," BMS , MBA HR (passout ) - For A Consultancy Firm @ Vashi Location"," bba, MMS, bms, MBA HR",NaviMumbai,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
13344," Steward , Captain , Restaurant Manager"," Communication Skills, QSR, Hotel Management, Kitchen, fast food, restaurant, Restaurant Management",Bengaluru,"Food & Beverage,Hotels , Restaurants,Travel , Hotels , Restaurants , Airlines , Railways",1 - 5,1 - 5
13347, Sales & Marketing Officer - Mega Walk in," business development, Software Sales, sales, Marketing","Kolkata,Bhubaneshwar","Retail Sales,Sales , Retail , Business Development,IT-Software, Software Services",1 - 5,1 - 5
13354," HR, Operations & Administration Executive"," Office Administration, Apparel Industry, Business Process, HR Administration, HR Operations, General Administration, Recruitment, staffing",Bengaluru,"Administration,Facility Management,HR , Recruitment , Administration , IR,Textiles, Garments, Accessories",1 - 5,1 - 5
13356, Front Office Receptionist cum Admin Assistant," HR Administration, Front Office, Receptionist Activities, Administrative Assistance, admin assistance, Receptionist, Front Desk, Front Desk Officer",Pune,"Other,HR , Recruitment , Administration , IR,IT-Software, Software Services",1 - 5,1 - 5
13365," Technical Support Engineer , L1 and L2 , Sal 4.5ctc"," customer service executive, technical support engineer, Technical Support, technical support executive, Technical Voice Process, International Voice Process",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
13371, Walk in Interview for Telecaller BPO Profile.," Recruitment, Interviewing, HR, Part Time, Freelancing, Business Development Executive, sales executive, sales officer, marketing officer, marketing executive","Delhi NCR,Gurgaon,...More","Ticketing,Travel,Documentation,Travel , Tours , Ticketing , Airlines,Travel , Hotels , Restaurants , Airlines , Railways",1 - 5,1 - 5
13381, Senior Sales Manager," Sales Strategy, Sales Management, Networking Skills, Social Networking, Presentation Skills",Noida,"Corporate Sales,Sales , Retail , Business Development,Real Estate, Property",1 - 5,1 - 5
13391, Required Electrical Engineer Fresher," maintenance engineer, Maintenance, Mechanical Maintenance, B.E Mechanical",Chennai,"Other,Production , Manufacturing , Maintenance,Electricals, Switchgears",1 - 5,1 - 5
13400," Bpo Call Center Fresher, 12th pass Fresher"," BPO, Non Voice Process, inbound, Calling, LPO, KPO, voice process, Domestic, Customer Care, Domestic BPO, international call center, Call Center, International BPO","Delhi NCR,Faridabad,Noida,GreaterNoida,Gurgaon","Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
13411, Urgent Hiring for Education Counselors (tele) - West Delhi - Upto 25k," education, institute, educational sales, bpo sales, student counselor, career advisor, inside sales, education sales",Delhi,"Teachers,Teaching , Education , Training , Counselling,Education, Teaching, Training",1 - 5,1 - 5
13420,Avaya Voice Engineer,"Telecom,Networking,Telecommunication,Technical Specifications,Avaya,Feasibility Studies",Noida,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO , Call Centre , ITES",1 - 5,1 - 5
13425, Urgent Opening For Technical Support Executive," technical helpdesk, tso, technical support, technical support representative, tsr, service desk, desktop support engineer, tse, technical support executive, desktop support, it helpdesk","GreaterNoida,Noida","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
13428, Opening for at JB Nagar - Vara Infotech Private Limited," Back Office Processing, MCOM, Bcom, Advanced Excel",Mumbai,"Back Office,Web,Transaction Processing,ITES , BPO , KPO , LPO , Customer Service , Operations,IT-Software, Software Services",1 - 5,1 - 5
13438, Software Programmer," Asp Net, MS SQL, SQL Server, vb.net, Software Development, Software Developer, .Net, dot net",Delhi,"Programming & Design,IT Software - ERP , CRM,Publishing",1 - 5,1 - 5
13439, Hiring for Backend Process ! Any Grad ! Noida ! 5 days ! Fixed Shift ," bpo, domestic bpo, bpo fresher, fresher, b.b.a, bba fresher, ba, b.com, b.a, backend, back office, non voice, us shift, cce, customer care","Delhi NCR,Noida","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
13441," Executive,senior Executive-ca(inter)"," statutory audit, Internal Audit, Accounting, Finance, Statutory Compliance, Accounts Receivable, Accounts Payable",Delhi NCR,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Accounting, Finance",1 - 5,1 - 5
13443," Technical Support Engineer, Required for HP Bangalore on 9th July"," fresher, technical support, networking, international bpo, voice process, computer hardware, software, service desk, customer support, helpdesk, engineer, l1, trainee",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,IT-Software, Software Services",1 - 5,1 - 5
13444, Customer Support Executive," Customer Support, customer care, customer service, customer service executive, customer service associate, customer service representative",Ahmedabad,"Other,ITES , BPO , KPO , LPO , Customer Service , Operations,FMCG, Foods, Beverage",1 - 5,1 - 5
13445, Assistant Software Engineer," web technologies, java, .net, Fresher","Delhi NCR,Bengaluru,Pune","Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
13449," International Sales , Inhouse Sales , Salary Upto-35k , Ahmedabad"," international sales, cold calling, direct sale, business development, bdm, inside sales, inhouse sales, voice process, international voice process, lead generation, telesales, sales representative, telemarketing",Ahmedabad,"Retail Sales,Sales , Retail , Business Development,Telcom, ISP",1 - 5,1 - 5
13463, IT Executive," Computer Networking, Windows Server, computer hardware, it",Bengaluru,"Admin,Maintenance,Security,Datawarehousing,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
13467, Immediate Opening For HCC Medical Coder @ Vee Technologies, medical coding,"Bengaluru,Chennai","Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Medical, Healthcare, Hospitals",1 - 5,1 - 5
13484, Nursing Assistant," patient care, Patient Relations",Bengaluru,"Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Medical, Healthcare, Hospitals",1 - 5,1 - 5
13492," Accountant , Accounts Executive"," wages, tds, bank position, fund management, gst, accounting, financial planning, salary, project finance, indirect taxation, financial statements, banking",Kolkata,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Medical, Healthcare, Hospitals",1 - 5,1 - 5
